COD_VIAJE,CLIENTE,UBICACION,CANTIDAD,PILOTO, Q ,CREDITO,UNIDAD
10000041,UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente,76002,766,Felipe Villatoro, $191.50 ,30,Camion Pequeño
10000042,UBIQUO LABS |||FALTANTE,76002,827,Hector Aragones Frutos, $206.75 ,90,Camion Pequeño
10000043,TIENDA LA BENDICION / Despacho a cliente,76001,1027,Fernando Mariano Berrio, $256.75 ,60,Camion Grande
10000044,ABARROTERIA EBENEZER/Despacho a cliente,76001,1706,Luis Jaime Urbano, $426.50 ,60,Camion Grande
10000045,HOSPITAL ROOSEVELT / Despacho a cliente ,76001,1044,Ismael Rodero Monteagudo, $261.00 ,60,Camion Grande
10000046,HOSPITAL ROOSEVELT / Despacho a cliente ,76002,596,Luis Jaime Urbano, $149.00 ,60,Camion Pequeño
10000047,EL GALLO NEGRO |||DEVOLUCION,76002,362,Luis Jaime Urbano, $90.50 ,90,Panel
10000048,"SPORTA, S.A./Despacho a cliente |||Faltante",76002,1937,Ismael Rodero Monteagudo, $484.25 ,60,Camion Grande
10000049,POLLO PINULITO/Despacho a cliente,76002,297,Angel Valdez Alegria, $74.25 ,90,Panel
10000050,TIENDA LA BENDICION / Despacho a cliente,76001,400,Ismael Rodero Monteagudo, $100.00 ,90,Panel
10000051,HOSPITAL LAS AMERICAS,76001,225,Hector Aragones Frutos, $56.25 ,60,Panel
10000052,BAR LA OFICINA,76002,562,Ismael Rodero Monteagudo, $140.50 ,60,Camion Pequeño
10000053,EL GALLO NEGRO / Despacho a cliente,76001,1791,Fernando Mariano Berrio, $447.75 ,60,Camion Grande
10000054,ABARROTERIA EBENEZER/Despacho a cliente,76001,356,Luis Jaime Urbano, $89.00 ,30,Panel
10000055,POLLO PINULITO/Despacho a cliente,76002,1903,Luis Jaime Urbano, $475.75 ,30,Camion Grande
10000056,BAR LA OFICINA,76002,1231,Pedro Alvarez Parejo, $307.75 ,30,Camion Grande
10000057,EL PINCHE OBELISCO |||Faltante,76002,1682,Hector Aragones Frutos, $420.50 ,60,Camion Grande
10000058,UBIQUO LABS,76001,1653,Pedro Alvarez Parejo, $413.25 ,90,Camion Grande
10000059,TIENDA LA BENDICION / Despacho a cliente,76001,1907,Angel Valdez Alegria, $476.75 ,30,Camion Grande
10000060,BAR LA OFICINA,76002,1954,Ismael Rodero Monteagudo, $488.50 ,90,Camion Grande
10000061,BAR LA OFICINA,76002,1177,Pedro Alvarez Parejo, $294.25 ,90,Camion Grande
10000062,TAQUERIA EL CHINITO,76001,1247,Juan Francisco Portillo Gomez, $311.75 ,90,Camion Grande
10000063,UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente,76001,1551,Hector Giron, $387.75 ,90,Camion Grande
10000064,POLLO PINULITO|||FALTANTE,76002,1481,Luis Jaime Urbano, $370.25 ,30,Camion Grande
10000065,EL GALLO NEGRO |||DEVOLUCION,76001,1126,Angel Valdez Alegria, $281.50 ,60,Camion Grande
10000066,BAR LA OFICINA,76001,1239,Luis Jaime Urbano, $309.75 ,30,Camion Grande
10000067,UBIQUO LABS,76002,1598,Fernando Mariano Berrio, $399.50 ,90,Camion Grande
10000068,TAQUERIA EL CHINITO,76002,965,Hector Giron, $241.25 ,90,Camion Pequeño
10000069,TAQUERIA EL CHINITO |||Faltante,76001,1111,Hector Aragones Frutos, $277.75 ,30,Camion Grande
10000070,TAQUERIA EL CHINITO |||Faltante,76002,1092,Pedro Alvarez Parejo, $273.00 ,30,Camion Grande
10000071,EL PINCHE OBELISCO |||Faltante,76002,1107,Ismael Rodero Monteagudo, $276.75 ,30,Camion Grande
10000072,BAR LA OFICINA,76002,958,Ismael Rodero Monteagudo, $239.50 ,90,Camion Pequeño
10000073,EL PINCHE OBELISCO |||Faltante,76002,1402,Felipe Villatoro, $350.50 ,60,Camion Grande
10000074,EL PINCHE OBELISCO |||Faltante,76001,1059,Juan Francisco Portillo Gomez, $264.75 ,60,Camion Grande
10000075,BAR LA OFICINA,76001,592,Felipe Villatoro, $148.00 ,30,Camion Pequeño
10000076,EL GALLO NEGRO / Despacho a cliente,76002,1278,Luis Jaime Urbano, $319.50 ,90,Camion Grande
10000077,ABARROTERIA EBENEZER/Despacho a cliente,76001,1578,Hector Giron, $394.50 ,90,Camion Grande
10000078,"SPORTA, S.A./Despacho a cliente |||Faltante",76002,1760,Juan Francisco Portillo Gomez, $440.00 ,30,Camion Grande
10000079,UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente,76001,628,Angel Valdez Alegria, $157.00 ,90,Camion Pequeño
10000080,TAQUERIA EL CHINITO |||Faltante,76002,1221,Angel Valdez Alegria, $305.25 ,60,Camion Grande
10000081,HOSPITAL ROOSEVELT / Despacho a cliente ,76002,547,Fernando Mariano Berrio, $136.75 ,30,Camion Pequeño
10000082,UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente,76001,742,Fernando Mariano Berrio, $185.50 ,30,Camion Pequeño
10000083,HOSPITAL ROOSEVELT / Despacho a cliente ,76002,1709,Pedro Alvarez Parejo, $427.25 ,90,Camion Grande
10000084,EL PINCHE OBELISCO / Despacho a cliente,76002,1769,Pedro Alvarez Parejo, $442.25 ,30,Camion Grande
10000085,HOSPITAL ROOSEVELT / Despacho a cliente ,76002,384,Ismael Rodero Monteagudo, $96.00 ,90,Panel
10000086,EL PINCHE OBELISCO |||Faltante,76001,1203,Ismael Rodero Monteagudo, $300.75 ,60,Camion Grande
10000087,UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente,76001,663,Hector Giron, $165.75 ,90,Camion Pequeño
10000088,EL GALLO NEGRO / Despacho a cliente,76001,929,Hector Giron, $232.25 ,90,Camion Pequeño
10000089,EL PINCHE OBELISCO / Despacho a cliente,76001,859,Hector Aragones Frutos, $214.75 ,60,Camion Pequeño
10000090,POLLO PINULITO|||FALTANTE,76002,1144,Pedro Alvarez Parejo, $286.00 ,60,Camion Grande
10000091,UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente,76001,1351,Hector Aragones Frutos, $337.75 ,90,Camion Grande
10000092,"SPORTA, S.A./Despacho a cliente |||Faltante",76002,1134,Juan Francisco Portillo Gomez, $283.50 ,30,Camion Grande
10000093,BAR LA OFICINA,76002,1929,Pedro Alvarez Parejo, $482.25 ,90,Camion Grande
10000094,POLLO PINULITO/Despacho a cliente,76002,1285,Felipe Villatoro, $321.25 ,30,Camion Grande
10000095,TIENDA LA BENDICION / Despacho a cliente,76002,1256,Angel Valdez Alegria, $314.00 ,30,Camion Grande
10000096,CHICHARRONERIA EL RICO COLESTEROL |||Faltante,76001,516,Hector Aragones Frutos, $129.00 ,30,Camion Pequeño
10000097,UBIQUO LABS,76001,829,Angel Valdez Alegria, $207.25 ,30,Camion Pequeño
10000098,POLLO PINULITO/Despacho a cliente,76002,1706,Fernando Mariano Berrio, $426.50 ,90,Camion Grande
10000099,EL PINCHE OBELISCO |||Faltante,76001,1201,Ismael Rodero Monteagudo, $300.25 ,60,Camion Grande
10000100,BAR LA OFICINA,76001,1373,Ismael Rodero Monteagudo, $343.25 ,30,Camion Grande
10000101,EL PINCHE OBELISCO |||Faltante,76001,1164,Fernando Mariano Berrio, $291.00 ,90,Camion Grande
10000102,POLLO PINULITO|||FALTANTE,76001,1405,Luis Jaime Urbano, $351.25 ,60,Camion Grande
10000103,TAQUERIA EL CHINITO |||Faltante,76002,1722,Pedro Alvarez Parejo, $430.50 ,30,Camion Grande
10000104,EL PINCHE OBELISCO / Despacho a cliente,76001,666,Pedro Alvarez Parejo, $166.50 ,90,Camion Pequeño
10000105,TAQUERIA EL CHINITO |||Faltante,76001,595,Ismael Rodero Monteagudo, $148.75 ,60,Camion Pequeño
10000106,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,482,Felipe Villatoro, $120.50 ,90,Panel
10000107,UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente,76001,1340,Fernando Mariano Berrio, $335.00 ,90,Camion Grande
10000108,UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente,76002,1887,Pedro Alvarez Parejo, $471.75 ,60,Camion Grande
10000109,UBIQUO LABS,76001,835,Hector Giron, $208.75 ,30,Camion Pequeño
10000110,EL GALLO NEGRO |||DEVOLUCION,76001,696,Luis Jaime Urbano, $174.00 ,60,Camion Pequeño
10000111,CHICHARRONERIA EL RICO COLESTEROL |||Faltante,76002,414,Fernando Mariano Berrio, $103.50 ,60,Panel
10000112,EL PINCHE OBELISCO / Despacho a cliente,76001,1888,Pedro Alvarez Parejo, $472.00 ,30,Camion Grande
10000113,TAQUERIA EL CHINITO,76001,1080,Felipe Villatoro, $270.00 ,30,Camion Grande
10000114,TIENDA LA BENDICION / Despacho a cliente,76002,1070,Juan Francisco Portillo Gomez, $267.50 ,90,Camion Grande
10000115,HOSPITAL LAS AMERICAS,76001,710,Fernando Mariano Berrio, $177.50 ,60,Camion Pequeño
10000116,EL GALLO NEGRO / Despacho a cliente,76001,557,Felipe Villatoro, $139.25 ,90,Camion Pequeño
10000117,TIENDA LA BENDICION / Despacho a cliente,76001,1666,Ismael Rodero Monteagudo, $416.50 ,90,Camion Grande
10000118,EL PINCHE OBELISCO / Despacho a cliente,76001,1456,Hector Giron, $364.00 ,30,Camion Grande
10000119,HOSPITAL ROOSEVELT / Despacho a cliente ,76002,1652,Hector Giron, $413.00 ,60,Camion Grande
10000120,TAQUERIA EL CHINITO,76002,1153,Hector Aragones Frutos, $288.25 ,90,Camion Grande
10000121,UBIQUO LABS,76001,1668,Hector Giron, $417.00 ,60,Camion Grande
10000122,EL PINCHE OBELISCO |||Faltante,76001,1315,Fernando Mariano Berrio, $328.75 ,90,Camion Grande
10000123,UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente,76002,1695,Juan Francisco Portillo Gomez, $423.75 ,90,Camion Grande
10000124,EL GALLO NEGRO |||DEVOLUCION,76002,1618,Felipe Villatoro, $404.50 ,30,Camion Grande
10000125,POLLO PINULITO|||FALTANTE,76002,1912,Angel Valdez Alegria, $478.00 ,30,Camion Grande
10000126,POLLO PINULITO/Despacho a cliente,76002,1112,Felipe Villatoro, $278.00 ,90,Camion Grande
10000127,TAQUERIA EL CHINITO,76001,828,Felipe Villatoro, $207.00 ,90,Camion Pequeño
10000128,POLLO PINULITO/Despacho a cliente,76001,1820,Pedro Alvarez Parejo, $455.00 ,30,Camion Grande
10000129,ABARROTERIA EBENEZER/Despacho a cliente,76002,306,Pedro Alvarez Parejo, $76.50 ,90,Panel
10000130,UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente,76001,1459,Hector Aragones Frutos, $364.75 ,30,Camion Grande
10000131,BAR LA OFICINA,76002,1230,Angel Valdez Alegria, $307.50 ,90,Camion Grande
10000132,EL PINCHE OBELISCO |||Faltante,76002,456,Juan Francisco Portillo Gomez, $114.00 ,30,Panel
10000133,POLLO PINULITO|||FALTANTE,76002,248,Pedro Alvarez Parejo, $62.00 ,30,Panel
10000134,UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente,76001,237,Fernando Mariano Berrio, $59.25 ,30,Panel
10000135,EL GALLO NEGRO |||DEVOLUCION,76002,1280,Fernando Mariano Berrio, $320.00 ,60,Camion Grande
10000136,EL PINCHE OBELISCO |||Faltante,76001,1193,Felipe Villatoro, $298.25 ,30,Camion Grande
10000137,HOSPITAL ROOSEVELT / Despacho a cliente ,76001,1294,Hector Giron, $323.50 ,90,Camion Grande
10000138,TAQUERIA EL CHINITO |||Faltante,76001,1435,Pedro Alvarez Parejo, $358.75 ,90,Camion Grande
10000139,EL PINCHE OBELISCO / Despacho a cliente,76002,1589,Hector Aragones Frutos, $397.25 ,30,Camion Grande
10000140,BAR LA OFICINA,76001,1259,Angel Valdez Alegria, $314.75 ,90,Camion Grande
10000141,EL PINCHE OBELISCO |||Faltante,76002,1544,Ismael Rodero Monteagudo, $386.00 ,60,Camion Grande
10000142,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,894,Juan Francisco Portillo Gomez, $223.50 ,60,Camion Pequeño
10000143,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,1764,Hector Giron, $441.00 ,90,Camion Grande
10000144,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,540,Angel Valdez Alegria, $135.00 ,30,Camion Pequeño
10000145,UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente,76001,1383,Felipe Villatoro, $345.75 ,60,Camion Grande
10000146,TAQUERIA EL CHINITO |||Faltante,76001,288,Luis Jaime Urbano, $72.00 ,60,Panel
10000147,EL PINCHE OBELISCO |||Faltante,76001,636,Hector Aragones Frutos, $159.00 ,90,Camion Pequeño
10000148,UBIQUO LABS,76001,311,Angel Valdez Alegria, $77.75 ,60,Panel
10000149,TAQUERIA EL CHINITO,76001,936,Fernando Mariano Berrio, $234.00 ,90,Camion Pequeño
10000150,ABARROTERIA EBENEZER/Despacho a cliente,76002,1607,Fernando Mariano Berrio, $401.75 ,30,Camion Grande
10000151,CHICHARRONERIA EL RICO COLESTEROL |||Faltante,76002,1459,Hector Giron, $364.75 ,60,Camion Grande
10000152,TAQUERIA EL CHINITO,76001,743,Luis Jaime Urbano, $185.75 ,60,Camion Pequeño
10000153,"SPORTA, S.A./Despacho a cliente |||Faltante",76002,1952,Hector Giron, $488.00 ,30,Camion Grande
10000154,UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente,76001,1575,Felipe Villatoro, $393.75 ,30,Camion Grande
10000155,TAQUERIA EL CHINITO |||Faltante,76001,344,Pedro Alvarez Parejo, $86.00 ,90,Panel
10000156,EL PINCHE OBELISCO / Despacho a cliente,76001,215,Angel Valdez Alegria, $53.75 ,60,Panel
10000157,POLLO PINULITO/Despacho a cliente,76001,1685,Juan Francisco Portillo Gomez, $421.25 ,90,Camion Grande
10000158,EL PINCHE OBELISCO |||Faltante,76001,1904,Angel Valdez Alegria, $476.00 ,30,Camion Grande
10000159,BAR LA OFICINA,76001,974,Hector Giron, $243.50 ,30,Camion Pequeño
10000160,EL PINCHE OBELISCO / Despacho a cliente,76001,369,Felipe Villatoro, $92.25 ,30,Panel
10000161,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,609,Ismael Rodero Monteagudo, $152.25 ,90,Camion Pequeño
10000162,EL GALLO NEGRO |||DEVOLUCION,76002,209,Fernando Mariano Berrio, $52.25 ,60,Panel
10000163,EL PINCHE OBELISCO / Despacho a cliente,76001,1814,Ismael Rodero Monteagudo, $453.50 ,60,Camion Grande
10000164,EL GALLO NEGRO / Despacho a cliente,76002,1729,Ismael Rodero Monteagudo, $432.25 ,30,Camion Grande
10000165,TAQUERIA EL CHINITO,76001,349,Hector Aragones Frutos, $87.25 ,60,Panel
10000166,BAR LA OFICINA,76001,890,Luis Jaime Urbano, $222.50 ,30,Camion Pequeño
10000167,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,557,Fernando Mariano Berrio, $139.25 ,60,Camion Pequeño
10000168,EL PINCHE OBELISCO |||Faltante,76001,726,Luis Jaime Urbano, $181.50 ,90,Camion Pequeño
10000169,UNIVERSIDAD FRANCISCO MARROQUIN/Despacho a cliente,76002,1545,Juan Francisco Portillo Gomez, $386.25 ,30,Camion Grande
10000170,UBIQUO LABS |||FALTANTE,76001,596,Pedro Alvarez Parejo, $149.00 ,90,Camion Pequeño
10000171,POLLO PINULITO/Despacho a cliente,76001,1232,Luis Jaime Urbano, $308.00 ,60,Camion Grande
10000172,TAQUERIA EL CHINITO |||Faltante,76001,1442,Fernando Mariano Berrio, $360.50 ,30,Camion Grande
10000173,"SPORTA, S.A./Despacho a cliente |||Faltante",76001,1245,Angel Valdez Alegria, $311.25 ,30,Camion Grande
10000174,EL GALLO NEGRO |||DEVOLUCION,76002,1398,Angel Valdez Alegria, $349.50 ,60,Camion Grande
10000175,TAQUERIA EL CHINITO,76002,1305,Juan Francisco Portillo Gomez, $326.25 ,30,Camion Grande
10000176,TAQUERIA EL CHINITO,76002,630,Felipe Villatoro, $157.50 ,60,Camion Pequeño
10000177,UBIQUO LABS |||FALTANTE,76002,1047,Luis Jaime Urbano, $261.75 ,30,Camion Grande
10000178,"SPORTA, S.A./Despacho a cliente |||Faltante",76002,1235,Angel Valdez Alegria, $308.75 ,60,Camion Grande
10000179,TAQUERIA EL CHINITO,76002,1271,Felipe Villatoro, $317.75 ,60,Camion Grande
10000180,TAQUERIA EL CHINITO,76002,862,Pedro Alvarez Parejo, $215.50 ,30,Camion Pequeño
10000181,POLLO PINULITO|||FALTANTE,76002,1345,Juan Francisco Portillo Gomez, $336.25 ,60,Camion Grande
10000182,ABARROTERIA EBENEZER/Despacho a cliente,76001,1044,Angel Valdez Alegria, $261.00 ,30,Camion Grande
10000183,HOSPITAL ROOSEVELT / Despacho a cliente ,76002,1876,Juan Francisco Portillo Gomez, $469.00 ,60,Camion Grande
10000184,BAR LA OFICINA,76002,898,Ismael Rodero Monteagudo, $224.50 ,60,Camion Pequeño
10000185,TIENDA LA BENDICION / Despacho a cliente,76001,1398,Hector Aragones Frutos, $349.50 ,30,Camion Grande
10000186,UBIQUO LABS,76002,1719,Pedro Alvarez Parejo, $429.75 ,30,Camion Grande
10000187,UBIQUO LABS,76001,1847,Angel Valdez Alegria, $461.75 ,30,Camion Grande
10000188,HOSPITAL ROOSEVELT / Despacho a cliente ,76002,407,Pedro Alvarez Parejo, $101.75 ,90,Panel
10000189,TAQUERIA EL CHINITO,76001,1699,Fernando Mariano Berrio, $424.75 ,90,Camion Grande
10000190,"SPORTA, S.A./Despacho a cliente |||Faltante",76002,1061,Hector Giron, $265.25 ,90,Camion Grande
10000191,TAQUERIA EL CHINITO,76002,1447,Hector Giron, $361.75 ,60,Camion Grande
10000192,ABARROTERIA EBENEZER/Despacho a cliente,76001,496,Ismael Rodero Monteagudo, $124.00 ,90,Panel
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
